model,dtype,kernel,tokens,qp,repetitions,total_median_us,total_min_us,total_max_us,p95_rank_max_median_us,total_runs_us
r1,bf16,v2,4,1,3,171.401393896868,166.77565270521004,184.9985084303751,190.70799946784973,"[184.9985084303751, 166.77565270521004, 171.401393896868]"
r1,bf16,v2,4,2,3,174.00084895178162,165.96030146846996,177.6735770259181,180.45999705791473,"[177.6735770259181, 174.00084895178162, 165.96030146846996]"
r1,bf16,v2,4,4,3,189.40696280835004,185.48488535854065,193.1130985311907,196.035398542881,"[193.1130985311907, 189.40696280835004, 185.48488535854065]"
r1,bf16,v2,4,8,3,221.47209845997136,210.089934765008,225.7765983873657,226.92299485206604,"[221.47209845997136, 225.7765983873657, 210.089934765008]"
r1,bf16,v2,16,1,3,184.08670255528955,180.74230541443004,186.91252944348702,191.71599745750427,"[186.91252944348702, 184.08670255528955, 180.74230541443004]"
r1,bf16,v2,16,2,3,189.14981672925683,183.3443464069017,191.030682578426,193.5800015926361,"[191.030682578426, 189.14981672925683, 183.3443464069017]"
r1,bf16,v2,16,4,3,203.93759009010833,196.7601656496268,210.59793885797262,209.94739830493927,"[210.59793885797262, 203.93759009010833, 196.7601656496268]"
r1,bf16,v2,16,8,3,238.9378399941428,225.52795812551832,239.5915187220892,247.0184028148651,"[239.5915187220892, 238.9378399941428, 225.52795812551832]"
r1,bf16,v2,64,1,3,254.34371238124783,251.2870702956771,258.44153172561323,262.0506018400192,"[254.34371238124783, 258.44153172561323, 251.2870702956771]"
r1,bf16,v2,64,2,3,255.82551416651955,251.9531633447984,260.40841091488454,263.4504020214081,"[255.82551416651955, 260.40841091488454, 251.9531633447984]"
r1,bf16,v2,64,4,3,263.11107463171254,255.90340647011482,268.30529052250347,272.68939316272736,"[263.11107463171254, 268.30529052250347, 255.90340647011482]"
r1,bf16,v2,64,8,3,279.87994526609265,268.1579561582927,285.6978435583156,288.8980031013489,"[279.87994526609265, 285.6978435583156, 268.1579561582927]"
r1,bf16,v2,256,1,3,539.1526087347803,536.8544577203434,544.3998883831604,551.0686099529266,"[536.8544577203434, 544.3998883831604, 539.1526087347803]"
r1,bf16,v2,256,2,3,540.4696410264949,537.6203152640112,541.4105007617638,551.5002071857452,"[540.4696410264949, 541.4105007617638, 537.6203152640112]"
r1,bf16,v2,256,4,3,514.6531647649305,510.80952462708126,523.0493471668713,523.8045901060104,"[510.80952462708126, 514.6531647649305, 523.0493471668713]"
r1,bf16,v2,256,8,3,524.0455942292666,523.043837366176,525.0446315340955,535.8200162649155,"[523.043837366176, 524.0455942292666, 525.0446315340955]"
r1,bf16,v2,1024,1,3,1578.082426354803,1575.2986620726256,1579.537918341571,1608.038580417633,"[1575.2986620726256, 1579.537918341571, 1578.082426354803]"
