step,native_loss,sdma_loss
10,11.110868,11.110868
20,11.053947,11.053947
30,11.071662,11.071662
40,11.150709,11.150709
50,11.149323,11.149323
60,11.059204,11.059204
70,11.097533,11.097533
80,11.001960,11.001960
90,10.482648,10.482648
100,10.454423,10.454423
110,10.451502,10.451502
120,10.486911,10.486911
130,10.432615,10.432615
140,10.423329,10.423329
150,10.428890,10.428890
160,10.424459,10.424459
170,10.415198,10.415198
180,10.439404,10.439404
190,10.414042,10.414042
200,10.412635,10.412635
210,10.431414,10.431414
220,10.426434,10.426434
230,10.409653,10.409653
240,10.421317,10.421317
250,10.414646,10.414646
260,10.420110,10.420110
270,10.417700,10.417700
280,10.410354,10.410354
290,10.413412,10.413412
300,10.401942,10.401942
310,10.411578,10.411578
320,10.410246,10.410246
330,10.412692,10.412692
340,10.409002,10.409002
350,10.396426,10.396426
360,10.410520,10.410520
370,10.399417,10.399417
380,10.402036,10.402036
390,10.414874,10.414874
400,10.406141,10.406141
410,10.411079,10.411079
420,10.410180,10.410180
430,10.416072,10.416072
440,10.405985,10.405985
450,10.401978,10.401978
460,10.404170,10.404170
470,10.401308,10.401308
480,10.413774,10.413774
490,10.402088,10.402088
500,10.391944,10.391944
